reclat,reclong,mass
29.45,-96,6
20.4625,86.70278,8
48.4,-3.3,2
48.11667,-3.08333,2
38.98333,141.61667,8
29.53333,72.3,8
25.55,83.11667,8
50.625,35.075,8
26.95,77.88333,8
28.01667,75.81667,8
56.75,75.33333,8
25.1,81.53333,8
16,36,8
14,28,2
54.4,10.15,2
16.58333,-11.33333,2
36.85,138.38333,8
55,34,8
12.76667,9.8,2
43.58333,-89.6,6
54.66667,-7.66667,2
11.63333,24.68333,2
30.75,-95.95,6
48.16667,22.30833,2
43.38333,-80.38333,6
51.6,10.8,2
48.9,22.4,2
34.73333,135.16667,8
34.3,133.95,8
35.73333,139.75,8
42.51667,26.16667,8
48.76367,21.17633,2
49.32694,7.46472,2
54.03333,40.9,8
54.33333,56.08333,8
56.8,77,8
47.83333,30.76667,8
51.15,31.7,8
30.73111,66.80222,8
50.75,33.5,8
41.11667,45,8
55.78333,61.36667,8
42.25,59.2,8
37.05,138.38333,8
29.68333,78.38333,8
44.51667,39.3,8
10.83333,76.03333,8
55.2,75.33333,8
32.03333,130.63333,8
47.08333,1.75,2
20.66667,-101.28333,6
-37.33333,-61.53333,4
-31.23333,-58.16667,4
44.28333,5.58333,2
26.78333,82.71667,8
48.76667,0.63333,2
21.86667,76.03333,8
24.45,78.56667,8
47.7,1.06667,2
43.75,5.11667,2
58.85,16.73333,2
46.24167,126.19611,8
47.75,16.23333,2
33.13333,115.16667,8
51.9,-1.11667,2
52.45,51.56667,8
47.16667,0.43333,2
48.53333,-0.86667,2
35.88333,-99.33333,6
-25.66667,28.36667,2
52.66667,-6.96667,2
34.58333,-87.5,6
52.26667,32.85,8
48.35,3.25,2
50.36667,4.73333,2
-26.15,26.18333,2
56.65,15.86667,2
52.56667,-8.78333,2
52.75,12.9,2
31.63333,118.98333,8
50.2,14.85,2
37.91667,-92.08333,6
56,26.43333,8
29.53333,71.8,8
26.96556,72.62667,8
38.70066,-77.21163,6
38,-0.83333,2
36.00833,-95.15,6
38.25,-85.75,6
52,19.91667,2
24.95,75.15,8
47.85,0.48333,2
32.03333,-84.76667,6
24.8,103.3,8
56.21667,13.03333,2
61.2,27.7,8
46.21667,5,2
-7.21667,29.43333,2
19,97,8
-5.2,-36.66667,2
-15.21222,35.24222,2
-28.83333,31.95,7
25.91667,86.36667,8
-7.75,111.53333,8
40.41667,-3.71667,2
-26.16667,-49.93333,4
37.86667,27.51667,8
-19.48333,31.65,2
27.66667,95.78333,8
12.83333,9.38333,2
32.21667,-104,6
9.5,31.75,2
-3.13333,33.51667,2
-28.93333,-63.23333,4
-29.45,26.76667,7
45.21667,62.08333,8
23.05,86.7,8
20.96667,76.1,8
-17.65,31.6,2
45.81667,44.63333,8
34.23333,72.08333,8
42.71667,-99.38333,6
54.76183,11.46745,2
4.66667,29.25,2
-22.25,-49.93333,4
41.9,-91.6,6
61.5,30.5,8
44.5,0.15,2
-14.2,48.1,8
35.8,-84.1,6
45.36667,1.86667,2
0,0,2
48.13333,12.61667,2
48.18333,13.13333,2
-20,57,8
8.96667,12.08333,2
24.68333,-101.68333,6
-1.21667,30,2
1.06667,34.16667,8
-27.25,-67.5,4
29.01667,77.8,8
-6.23333,106.88333,8
53.18333,13.15,2
46.81867,7.21817,2
55.05,12.06667,2
0,37.66667,8
25.48333,81.98333,8
38.18333,15.56667,2
50.58333,11.1,2
45.76667,3.25,2
46.5,25.73333,8
25.9,83.61667,8
34.8,111.7,8
54.56667,-1.16667,2
42.9075,-90.36556,6
48.06667,30.96667,8
35.56833,133.22,8
46.23333,17.53333,2
46.18333,16.1,2
-26.45,120.36667,5
35.4,-92.05,6
35.07833,136.93333,8
37.28333,14.7,2
32.33333,120.66667,8
47.7,16.6,2
25.68333,83.25,8
56.66667,23,8
61.73333,5.93333,2
46.8,24.03333,2
38.5,-101.1,6
-39.63333,174.4,3
38.11667,-1.16667,2
-31.25,26.46667,7
31.60833,-102.85833,6
35.25,-80.5,6
38.01667,-8.25,2
43.26667,13.35,2
43.39056,1.9625,2
47.63333,1.58333,2
-15.96667,27.35,2
35.41667,-79.38333,6
52.45,-8.33333,2
-40.975,145.6,3
28.78333,78.83333,8
49.6,18.53333,2
44.6,5.13333,2
59.43333,10.7,2
26.83333,77.33333,8
45.2,8.5,2
-29.8,141.7,3
18.7,4.8,2
44.08333,6.86667,2
-11.5,33.5,2
12.63333,77.01667,8
9.33333,80.83333,8
24.5,90.21667,8
-36.61667,145.2,3
36.6,-88.1,6
26.13333,85.53333,8
23.05,72.63333,8
12,1,2
38.12167,140.06167,8
26.98333,78.21667,8
49.16667,19.5,2
31.31667,30.35,8
13.73333,100.08333,8
12.28333,79.2,8
35.66667,103.5,8
38.41667,-77.16667,6
32.11667,121.8,8
19.25,77,8
33.75,51.5,8
-34.05,150.68889,3
42.51667,12.51667,2
-21.73333,165.9,3
21.25,83.66667,8
36.44917,136.46528,8
18.68333,83.48333,8
